full_name,stars,html_url,created_at,updated_at,size,language,age_years,num_releases
killme2008/aviatorscript,4972,https://github.com/killme2008/aviatorscript,2011-03-29T12:48:47Z,2025-09-06T14:26:19Z,13204,Java,14.44,30
frogermcs/InstaMaterial,4969,https://github.com/frogermcs/InstaMaterial,2014-11-10T18:56:49Z,2025-09-04T11:38:45Z,4531,Java,10.82,1
Devlight/NavigationTabBar,4952,https://github.com/Devlight/NavigationTabBar,2016-03-29T08:59:27Z,2025-09-06T03:57:14Z,389,Java,9.44,13
bisq-network/bisq,4945,https://github.com/bisq-network/bisq,2014-03-12T09:42:29Z,2025-09-06T06:58:41Z,936328,Java,11.49,30
amitshekhariitbhu/RxJava2-Android-Samples,4943,https://github.com/amitshekhariitbhu/RxJava2-Android-Samples,2016-08-27T08:21:37Z,2025-08-22T08:21:43Z,499,Java,9.03,0
react-native-linear-gradient/react-native-linear-gradient,4939,https://github.com/react-native-linear-gradient/react-native-linear-gradient,2015-03-31T17:44:40Z,2025-09-06T09:58:04Z,2251,Java,10.44,18
spring-cloud/spring-cloud-netflix,4931,https://github.com/spring-cloud/spring-cloud-netflix,2014-07-11T15:46:12Z,2025-09-03T07:39:36Z,20880,Java,11.16,24
apache/calcite,4930,https://github.com/apache/calcite,2014-06-25T07:00:07Z,2025-09-06T12:49:03Z,107909,Java,11.2,0
lugg/react-native-config,4920,https://github.com/lugg/react-native-config,2016-02-23T00:19:11Z,2025-09-04T15:50:43Z,3856,Java,9.54,30
roncoo/roncoo-pay,4918,https://github.com/roncoo/roncoo-pay,2016-07-21T02:46:06Z,2025-09-03T07:12:50Z,18383,Java,9.13,0
traex/RippleEffect,4916,https://github.com/traex/RippleEffect,2014-10-14T13:32:51Z,2025-09-06T04:05:05Z,833,Java,10.9,0
querydsl/querydsl,4906,https://github.com/querydsl/querydsl,2011-08-05T06:46:32Z,2025-09-05T06:47:03Z,51788,Java,14.09,30
javastacks/spring-boot-best-practice,4906,https://github.com/javastacks/spring-boot-best-practice,2018-11-09T06:23:18Z,2025-09-06T13:15:27Z,236,Java,6.83,0
Ramotion/folding-cell-android,4905,https://github.com/Ramotion/folding-cell-android,2016-04-01T11:38:47Z,2025-08-27T12:09:07Z,26341,Java,9.43,0
PBH-BTN/PeerBanHelper,4896,https://github.com/PBH-BTN/PeerBanHelper,2024-02-07T14:35:16Z,2025-09-06T17:27:28Z,105324,Java,1.58,30
DiUS/java-faker,4893,https://github.com/DiUS/java-faker,2011-06-06T01:01:21Z,2025-09-05T09:55:47Z,6147,Java,14.25,0
Docile-Alligator/Infinity-For-Reddit,4892,https://github.com/Docile-Alligator/Infinity-For-Reddit,2018-07-26T15:02:51Z,2025-09-06T19:41:46Z,30181,Java,7.12,30
cglib/cglib,4873,https://github.com/cglib/cglib,2014-03-29T13:48:30Z,2025-09-03T08:28:59Z,4944,Java,11.44,15
orientechnologies/orientdb,4865,https://github.com/orientechnologies/orientdb,2012-12-09T20:33:47Z,2025-09-06T08:18:09Z,295005,Java,12.74,30
rstudio/rstudio,4864,https://github.com/rstudio/rstudio,2010-12-07T19:10:25Z,2025-09-06T21:40:12Z,1027662,Java,14.75,0
react-native-webrtc/react-native-webrtc,4858,https://github.com/react-native-webrtc/react-native-webrtc,2015-09-27T10:57:30Z,2025-09-06T18:42:52Z,431980,Java,9.94,30
reactive-streams/reactive-streams-jvm,4856,https://github.com/reactive-streams/reactive-streams-jvm,2014-02-28T13:16:15Z,2025-09-05T06:56:46Z,1846,Java,11.52,0
Sayi/poi-tl,4849,https://github.com/Sayi/poi-tl,2015-03-20T06:47:52Z,2025-09-06T02:09:40Z,102721,Java,10.47,14
fuzhengwei/small-spring,4847,https://github.com/fuzhengwei/small-spring,2021-05-15T06:07:28Z,2025-09-05T18:24:29Z,10594,Java,4.31,0
nextcloud/android,4837,https://github.com/nextcloud/android,2016-06-06T21:23:36Z,2025-09-06T18:27:08Z,529951,Java,9.25,30
allure-framework/allure2,4836,https://github.com/allure-framework/allure2,2016-05-27T14:06:05Z,2025-09-06T16:38:37Z,15082,Java,9.28,30
mcxiaoke/packer-ng-plugin,4825,https://github.com/mcxiaoke/packer-ng-plugin,2015-11-24T04:08:08Z,2025-08-28T23:08:35Z,1458,Java,9.79,1
andkulikov/Transitions-Everywhere,4807,https://github.com/andkulikov/Transitions-Everywhere,2014-10-15T03:37:03Z,2025-08-23T18:44:46Z,1247,Java,10.89,23
claritylab/lucida,4798,https://github.com/claritylab/lucida,2014-05-13T17:12:49Z,2025-08-25T23:12:41Z,1352332,Java,11.32,0
mock-server/mockserver,4792,https://github.com/mock-server/mockserver,2013-02-26T06:09:52Z,2025-09-06T18:53:58Z,51966,Java,12.53,0
TheoKanning/openai-java,4790,https://github.com/TheoKanning/openai-java,2020-09-15T02:58:52Z,2025-09-04T15:25:17Z,547,Java,4.97,22
saiwu-bigkoo/Android-ConvenientBanner,4776,https://github.com/saiwu-bigkoo/Android-ConvenientBanner,2014-12-23T06:12:33Z,2025-08-13T06:48:01Z,12540,Java,10.7,0
ronmamo/reflections,4767,https://github.com/ronmamo/reflections,2013-04-16T16:19:26Z,2025-09-02T03:48:47Z,1064,Java,12.39,3
tuguangquan/mybatis,4763,https://github.com/tuguangquan/mybatis,2014-11-03T04:51:06Z,2025-08-31T09:13:26Z,50815,Java,10.84,0
apache/maven,4762,https://github.com/apache/maven,2009-05-21T03:22:03Z,2025-09-06T21:50:14Z,88384,Java,16.3,26
etsy/AndroidStaggeredGrid,4753,https://github.com/etsy/AndroidStaggeredGrid,2013-12-09T19:43:45Z,2025-08-30T09:58:50Z,878,Java,11.74,7
nisrulz/android-tips-tricks,4748,https://github.com/nisrulz/android-tips-tricks,2016-08-25T20:27:33Z,2025-09-03T08:24:43Z,34266,Java,9.03,0
kyleduo/SwitchButton,4748,https://github.com/kyleduo/SwitchButton,2014-09-09T07:20:43Z,2025-08-19T05:04:56Z,12162,Java,10.99,0
spring-cloud/spring-cloud-gateway,4735,https://github.com/spring-cloud/spring-cloud-gateway,2016-11-16T21:42:51Z,2025-09-06T01:51:34Z,13983,Java,8.8,30
firebase/FirebaseUI-Android,4734,https://github.com/firebase/FirebaseUI-Android,2015-07-09T17:31:09Z,2025-09-06T17:45:24Z,28814,Java,10.16,30
google/cameraview,4724,https://github.com/google/cameraview,2016-08-04T05:22:14Z,2025-08-30T18:07:04Z,256,Java,9.09,0
hongyangAndroid/baseAdapter,4723,https://github.com/hongyangAndroid/baseAdapter,2015-08-03T02:55:51Z,2025-08-19T05:05:09Z,724,Java,10.09,0
hansonwang99/Spring-Boot-In-Action,4716,https://github.com/hansonwang99/Spring-Boot-In-Action,2019-01-28T12:56:51Z,2025-09-05T08:32:59Z,15827,Java,6.61,0
zq2599/blog_demos,4715,https://github.com/zq2599/blog_demos,2017-04-09T04:51:56Z,2025-09-03T14:39:01Z,247898,Java,8.41,0
micrometer-metrics/micrometer,4703,https://github.com/micrometer-metrics/micrometer,2017-04-10T21:36:51Z,2025-09-05T21:17:25Z,38179,Java,8.41,30
zlt2000/microservices-platform,4701,https://github.com/zlt2000/microservices-platform,2019-03-07T07:13:37Z,2025-09-05T08:31:23Z,300854,Java,6.5,30
spring-attic/spring-security-oauth,4701,https://github.com/spring-attic/spring-security-oauth,2011-07-26T18:08:49Z,2025-08-23T09:23:46Z,7273,Java,14.12,0
jgilfelt/chuck,4700,https://github.com/jgilfelt/chuck,2017-02-07T23:51:39Z,2025-08-27T08:54:17Z,1899,Java,8.57,5
