repo,CBO_media,CBO_mediana,CBO_std,DIT_media,DIT_mediana,DIT_std,LCOM_media,LCOM_mediana,LCOM_std,LOC_total
Justson_AgentWeb,5.3984375,3.0,7.348298289066527,1.48828125,1.0,0.9979682177932774,18.79296875,0.0,99.1625329969321,11320
seven332_EhViewer,7.144758735440932,4.0,10.200359960153092,1.821963394342762,1.0,1.5099393382929196,45.26289517470882,1.0,450.453842368195,44372
huanghaibin-dev_CalendarView,6.568181818181818,4.0,7.124678165435892,2.159090909090909,1.0,1.4919698475418415,53.18181818181818,3.0,390.12795103891,11557
GcsSloop_AndroidNote,4.875,1.0,5.986592162013855,1.375,1.0,0.5175491695067657,8.125,3.0,12.744046228953906,402
spring-projects_spring-security,7.431808019078849,5.0,8.272869966638112,1.2642718736026233,1.0,0.7558602266198627,10.561186465941272,0.0,50.53379070606113,272962
json-path_JsonPath,4.557065217391305,3.0,4.80315564708474,1.486413043478261,1.0,1.0923714487589542,29.29076086956522,0.0,118.93177913742313,16468
android_testing-samples,5.5,5.5,3.547161251081838,1.3488372093023255,1.0,0.5261948165386281,3.1511627906976742,0.0,6.805737098620572,1849
cats-oss_android-gpuimage,2.9607843137254903,2.0,3.748477503111266,2.156862745098039,2.0,1.192728225202643,11.300653594771243,0.0,54.17601491135414,6341
flyway_flyway,5.976584022038567,4.0,5.808507663808043,1.5041322314049588,1.0,0.9391761637885989,53.19559228650138,1.0,622.7720767840548,31247
didi_VirtualAPK,4.895705521472393,3.0,6.16803137745269,1.6134969325153374,1.0,1.4286536585978775,17.57668711656442,1.0,66.27979373906393,7981
apache_jmeter,5.490401396160559,4.0,5.948634988014199,1.9965095986038395,2.0,1.5008687933337277,62.117510180337405,3.0,382.715791855814,127364
navasmdc_MaterialDesignLibrary,4.536585365853658,3.0,4.494702291604369,1.8170731707317074,1.0,1.2285497701720602,6.7560975609756095,0.0,18.90493499853957,2927
KunMinX_Jetpack-MVVM-Best-Practice,4.840336134453781,3.0,5.079008299834223,1.6218487394957983,1.0,1.0734989254899414,12.0,0.0,68.96781366720202,3691
langchain4j_langchain4j,6.057594936708861,4.0,6.691253751847329,1.1857594936708862,1.0,0.565427721411229,17.465506329113925,1.0,79.28780453603784,127988
Freelander_Android_Data,2.0,2.0,2.8284271247461903,1.0,1.0,0.0,3.0,3.0,4.242640687119285,116
nathanmarz_storm,4.430082256169213,3.0,5.186928127995477,1.2878965922444183,1.0,0.9257526889288316,33.070505287896594,1.0,133.1412596573885,60552
laobie_StatusBarUtil,4.151515151515151,3.0,3.5277578938435896,1.5454545454545454,1.0,0.8325754129097365,22.545454545454547,0.0,124.49299450900112,1036
java-native-access_jna,4.534883720930233,3.0,6.1098368749365735,2.3665961945031713,2.0,4.33150233505433,44.93784355179704,0.0,515.5114728328083,106804
apache_seatunnel,6.797061909758657,5.0,7.16049016544779,1.3668415529905562,1.0,0.7184098503879576,31.082476390346276,0.0,398.806240447111,262778
Blankj_awesome-java-leetcode,1.6805555555555556,2.0,0.5522397134356254,1.0,1.0,0.0,1.1666666666666667,1.0,0.6920066758613097,1772
flowable_flowable-engine,6.603055989292884,4.0,9.476470266288604,1.6629489181351773,1.0,1.0434739498716472,152.26923934865044,1.0,2937.2466921065225,520465
chrisbanes_Android-PullToRefresh,6.024390243902439,4.5,5.84147708733664,2.1341463414634148,2.0,1.3495513211594585,55.84146341463415,1.0,370.86360573940044,3567
ybq_Android-SpinKit,4.816901408450704,5.0,3.534765537405071,3.1690140845070425,2.0,2.4668424901536303,21.52112676056338,1.0,134.57020038997481,1812
checkstyle_checkstyle,,,,,,,,,,0
karatelabs_karate,6.63013698630137,5.0,6.906892372503969,1.2054794520547945,1.0,0.5992311622862506,115.27568493150685,1.0,629.0959652334002,40088
apache_shenyu,5.960702341137123,4.0,5.996129664962779,1.2349498327759196,1.0,0.5881786137522061,17.891583054626533,1.0,67.22613665966169,142376
shwenzhang_AndResGuard,3.4242424242424243,2.0,4.3432019597761355,1.5,1.0,0.8638019716079873,22.37878787878788,1.5,44.337088191235445,6506
react-native-image-picker_react-native-image-picker,6.181818181818182,4.0,6.431456783935998,1.5454545454545454,2.0,0.5222329678670935,66.18181818181819,1.0,211.2400616274376,811
chrisjenx_Calligraphy,5.72,5.0,5.062278801751901,1.44,1.0,0.5830951894845301,11.36,3.0,26.94420160257119,968
airbnb_epoxy,6.37037037037037,4.0,6.002682295350015,1.81657848324515,2.0,1.0557968556758157,113.16754850088184,1.0,285.66741356197423,35500
amitshekhariitbhu_Android-Debug-Database,4.147540983606557,4.0,3.8027887379911536,1.278688524590164,1.0,0.520613341517599,8.80327868852459,0.0,22.79825992784767,2393
facebook_buck,7.058555133079848,4.0,8.702528281054738,1.3570342205323194,1.0,0.9069756114348806,26.431653992395436,1.0,227.52236117992356,491734
dropwizard_dropwizard,5.964595375722543,4.0,5.906065437056204,1.5158959537572254,1.0,1.0060016175591866,18.833815028901736,0.0,214.7117420173562,39946
junit-team_junit4,3.8660774983004758,3.0,4.188631948108,1.4643099932019035,1.0,1.0503890677433585,12.961250849762067,0.0,130.53931769190586,32946
frohoff_ysoserial,5.458333333333333,3.0,5.655213751665874,1.3416666666666666,1.0,0.6673141113818137,8.891666666666667,1.0,57.45846813328816,3851
google_tsunami-security-scanner,6.260416666666667,5.0,6.1404776709857485,1.5416666666666667,1.0,0.9508844223505765,14.753472222222221,0.5,54.019015123105554,8564
roughike_BottomBar,4.909090909090909,2.0,6.833688659816213,1.2878787878787878,1.0,0.6267167564170378,61.666666666666664,0.0,332.0319416206975,2834
